,city,country,first-name,last-name,pronouns,country-alpha_3,continent,longitude,latitude,ols-1,ols-2,ols-3,ols-4,ols-5,ols-6,ols-7
ajstewartlang,Manchester,United Kingdom,Andrew,Stewart,he/him,GBR,Europe,-2.2451148,53.4794892,speaker,speaker,,,speaker,,
anelda,Overberg,South Africa,Anelda,Van Der Walt,she/her,ZAF,Africa,5.4964645,52.0390484,,,speaker,,speaker,,
anenadic,Manchester,United Kingdom,Aleksandra,Nenadic,she/her/hers,GBR,Europe,-2.2451148,53.4794892,,speaker,,,,,
babasaraki,Bauchi,Nigeria,Umar,Ahmad,Data Science,NGA,Africa,10.0287754,10.6228284,,speaker,,,,,
batoolmm,Liverpool,Saudi Arabia,Batool,Almarzouq,She/Her,SAU,Asia,-2.99168,53.4071991,,,,speaker,,,
bduckles,"Portland, Oregon",United States,Beth,Duckles,"she, her",USA,North America,-122.674194,45.5202471,speaker,,,,,,
bebatut,Clermont-Ferrand,France,Bérénice,Batut,she/her,FRA,Europe,3.0819427,45.7774551,speaker,speaker,speaker,speaker,,,speaker
bethaniley,Belfast,United Kingdom,Bethan,Iley,she/her,GBR,Europe,-5.9301829,54.596391,,,,,,speaker,
burkemlou,Brisbane,Australia,Melissa,Burke,She/Her,AUS,Oceania,153.0234991,-27.4689682,,speaker,,,,,
c-martinez,Amsterdam,Netherlands,Carlos,Martinez-Ortiz,he/him,NLD,Europe,4.8924534,52.3730796,,,speaker,,,,
cassgvp,Oxford,United Kingdom,Cassandra,Gould Van Praag,she/her,GBR,Europe,-1.2578499,51.7520131,,speaker,,,,,
christinerogers,Montreal,Canada,Christine,Rogers,she/her,CAN,North America,-73.5698065,45.5031824,,speaker,,,,,
demellina,London,United Kingdom,Demitra,Ellina,She/her,GBR,Europe,-0.12765,51.5073359,speaker,,,,,,
ekaroune,Portsmouth,United Kingdom,Emma,Karoune,she/her,GBR,Europe,-1.075614,50.8036831,,,,speaker,,,
ekin-bolukbasi,London,United Kingdom,Ekin,Bolukbasi,,GBR,Europe,-0.12765,51.5073359,,speaker,,,,,
emma-anne-harris,Berlin,Germany,Emma Anne,Harris,,DEU,Europe,13.3888599,52.5170365,,,speaker,,,,
estherplomp,The Hague,Netherlands,Esther,Plomp,she/her/hers,NLD,Europe,4.3113461,52.0799838,,,speaker,,,,
fpsom,Thessaloniki,Greece,Fotis,Psomopoulos,He/him,GRC,Europe,22.9352716,40.6403167,speaker,speaker,,,,,
gedankenstuecke,Paris,France,Bastian,Greshake Tzovaras,he/him,FRA,Europe,2.3483915,48.8534951,speaker,speaker,,,,,
georgiahca,London,United Kingdom,Georgia,Aitkenhead,She/her,GBR,Europe,-0.12765,51.5073359,,,speaker,,,,
ha0ye,Gainesville,United States,Hao,Ye,he/him,USA,North America,-82.3249846,29.6519684,,,speaker,,speaker,,
hexylena,Rotterdam,Netherlands,Helena,Rasche,,NLD,Europe,4.47775,51.9244424,,,speaker,,,,
iratxepuebla,Cambridge,United Kingdom,Iratxe,Puebla,she/her,GBR,Europe,0.1186637,52.2055314,,,speaker,,,,
jywarren,"Providence, RI",United States,Jeffrey,Warren,,USA,North America,-71.4128343,41.8239891,,,,,,speaker,
lauracion,Ciudad Autónoma De Buenos Aires,Argentina,Laura,Ación,she/ella,ARG,South America,-58.4370894,-34.6075682,,speaker,,,,,
luispedro,Shanghai,China,Luis Pedro,Coelho,he/them,CHN,Asia,121.4691024,31.2323437,,,,,,speaker,
lwinfree,Austin,United States,Lilly,Winfree,she/her,USA,North America,-97.7436995,30.2711286,speaker,speaker,,,speaker,,
malloryfreeberg,Cambridge,United Kingdom,Mallory,Freeberg,she/her,GBR,Europe,0.1186637,52.2055314,,,,,,speaker,
malvikasharan,London,United Kingdom,Malvika,Sharan,she/her,GBR,Europe,-0.12765,51.5073359,speaker,speaker,speaker,speaker,speaker,speaker,speaker
marcoanteghini,Berlin,Germany,Marco,Anteghini,,DEU,Europe,13.3888599,52.5170365,,,,,,speaker,
melibleq,São Paulo,Brazil,Melissa,Black,she/her,BRA,South America,-46.6333824,-23.5506507,,,,,,speaker,
mxrtinez,Bucaramanga,Colombia,Alexander,Martinez Mendez,,COL,South America,-73.1180151,7.1246909,,,,,,speaker,
natasha_wood,Cape Town,South Africa,Natasha,Wood,,ZAF,Africa,18.417396,-33.928992,,speaker,,,,,
pivg,Cambridge,United Kingdom,Piraveen,Gopalasingam,he/him,GBR,Europe,0.1186637,52.2055314,,,,,,speaker,
proccaserra,Oxford,United Kingdom,Philippe,Rocca-Serra,he/him,GBR,Europe,-1.2578499,51.7520131,,speaker,,,speaker,,
rainsworth,Manchester,United Kingdom,Rachael,Ainsworth,she/her,GBR,Europe,-2.2451148,53.4794892,,speaker,,,,,
